# BIT Mesra — graduating batch intake, 2027-SPRING
# identityCommitment = Poseidon(identitySecret, IDENTITY_DOMAIN).
# In a real deployment the student generates identitySecret at registration
# and registers only this commitment; the university never sees the secret.
name,rollNumber,identityCommitment,cgpa,degreeCode,year
Aarav Sharma,BTECH/27431/23,0x2e6656965ab9bf19624abba5f0f0e8acadf7a67c2bb3fa31428928e5bc3b3b27,8.34,1101,2027
Diya Nair,BTECH/27102/23,0x2f060872508f0d056b86c364f859600db504b7b60a84f62b742c2536b28c653a,9.12,1101,2027
Rohan Verma,BTECH/27218/23,0x1de28e284df4ea5c3d5747673468ad61a376ba3175285d638a141f7b23305986,8.76,1101,2027
Ananya Iyer,BTECH/27355/23,0x0536de1453525aa161b3fe87c5f4170c9309c976465143c15acbefcbbe423927,8.05,1101,2027
Kabir Singh,BTECH/27467/23,0x0e27b19d4f7cfebfa4c908d2f9893d5cc01a4264a75c7ef0fd4f3e570c20ffc1,9.41,1101,2027
Ishita Banerjee,BTECH/27523/23,0x0d9a604fb14887a159ca2b0e934a74b6243e1cf761d27371d717dde91a01fb6d,8.62,1101,2027
Vivaan Patel,BTECH/27614/23,0x254682b7df1d6417647f90b66d7b8127e8b650e845b71744206352f718280d6d,8.19,1101,2027
Meera Krishnan,BTECH/27689/23,0x2d5ab17f4d82e00e2593d57eec42a91c55f6e06f080dc4ef27df67ac77903ef2,8.93,1101,2027
Arjun Reddy,BTECH/27741/23,0x053e88db2623706be0bc7270a12b29e29dd5fa9e5e07949eaa07fb64cbd188c0,8.47,1101,2027
Saanvi Gupta,BTECH/27806/23,0x18d5d41ef07a78b9e5649124ea6418195e0b77398f35e869aa8ca45e6066106f,8.28,1101,2027
Aditya Bose,BTECH/27877/23,0x2708bffe291df2693b77de9b3db91dbddd19bcb952507d0d62c4b0fe00dc1497,9.05,1101,2027
Neha Chauhan,BTECH/27912/23,0x0410ac79796074d5ebcbe0adbfe1f8eb61328ac7b6f69d3065ce1ae16cd9a7b4,8.51,1101,2027
Rishi Menon,BTECH/27964/23,0x1206b61cfda001c16842089cad511fd59341d8158ab59ca38cc807aa39b43732,8.11,1101,2027
Karan Malhotra,BTECH/27155/23,0x1d71f400519ed7b1d61106c641251d2d3fecec185bef79ef30b25b5331dd4815,6.40,1101,2027
Priya Deshmukh,BTECH/27283/23,0x2bd4b5a700a749f3db83f51e291f0506569edf4da0dff50e356ff3143716767f,7.82,1101,2027
Sameer Joshi,BTECH/27398/23,0x1e2988d5630c355371546d1b70aa8b5757d04252b86e309d43ca6d1e51d53c0f,7.15,1101,2027
Tanvi Rao,BTECH/27446/23,0x0057112c1b90c42079a0e9ec281e896b7486eaa4cbcb94b47611bf74fe867fa9,6.95,1102,2027
Aryan Mishra,BTECH/27572/23,0x244328e28452688763b4451f8cacaa036607174c391e39ae8ef2fa11d15d7d43,7.60,1102,2027
Nikhil Pillai,BTECH/27633/23,0x2b29c20b1264a41d7dd318f3816a36722da7b993639ee34210e73d22bc4aa410,9.20,1102,2027
Shreya Kulkarni,MTECH/27058/23,0x281673c8b8c6c324094bf8fba5a7f73888f2d25126b30bc2111840aaf3fdc175,8.88,1201,2027
